Respondent,Text,cleaned_data
Vendor,"Ya, setuju lokasi ni sesuai untuk jalankan perniagaan",lokasi sesuai jalan niaga
Vendor,Perniagaan komuniti di CMART memenuhi keperluan penduduk setempat,niaga komuniti cmart penuh perlu duduk tempat
Vendor,"Setuju, berniaga di CMART memberi manfaat kepada perniagaan",niaga cmart beri manfaat niaga
Vendor,"Setuju, jumlah pengunjung mempengaruhi jualan perniagaan",jumlah pengunjung pengaruh jual niaga
Vendor,Media sosial membantu menarik pelanggan ke gerai,media sosial bantu tarik pelanggan gerai
Vendor,"Ya, kemudahan yang disediakan membantu meningkatkan kehadiran pelanggan",mudah sedia bantu tingkat hadir pelanggan
Vendor,Persaingan dengan vendor lain tidak menjadi cabaran utama,saing vendor jadi cabar utama
Vendor,Lebih banyak promosi dapat meningkatkan jumlah pengunjung,lebih banyak promosi tingkat jumlah pengunjung
Vendor,Saya ingin terus menyertai program pada masa hadapan,ingin terus serta program hadapan
Vendor,Jumlah pengunjung berkurangan ketika musim cuti menyebabkan jualan perlahan,jumlah pengunjung rang ketika musim cuti sebab jual perlahan
Vendor,Kemudahan yang disediakan memudahkan urusan berniaga sebab tak perlu pasang khemah,mudah sedia mudah urus niaga perlu pasang khemah
Vendor,"Berniaga kat sini tak penat sangat, sebab persediaan yang mudah",niaga penat sedia mudah
Vendor,"Pelanggan ada daripada pelajar, staf dan komuniti setempat",pelanggan pelajar staf komuniti tempat
