Respondent,Text,cleaned_data
Visitor,CMART memenuhi keperluan komuniti setempat,cmart penuh perlu komuniti tempat
Visitor,"Sangat setuju, produk yang ditawarkan adalah menarik",produk tawar tarik
Visitor,"sangat setuju, Lokasi CMART mudah diakses",lokasi cmart mudah akses
Visitor,Kemudahan yang disediakan memuaskan,mudah sedia memuaskan
Visitor,Suasana dan kebersihan di CMART memuaskan,suasana bersih cmart memuaskan
Visitor,Perkhidmatan yang disediakan memuaskan,khidmat sedia memuaskan
Visitor,"Ya, setuju media sosial mempengaruhi pelanggan untuk datang ke CMART",media sosial pengaruh pelanggan datang cmart
Visitor,Saya ingin datang semula pada masa hadapan,ingin datang mula hadapan
Visitor,Saya akan mencadangkan CMART kepada orang lain,cadang cmart
Visitor,"Ya, lebih banyak promosi dapat meningkatkan jumlah pengunjung",lebih banyak promosi tingkat jumlah pengunjung
Visitor,Setiap hari kunjung ke CMART,tiap hari kunjung cmart
Visitor,Saya tahu tentang CMART sebab bekerja di kawasan sini,tahu cmart kerja kawasan
Visitor,Produk ataupun perkhidmatan yang ditawarkan menarik,produk atau khidmat tawar tarik
Visitor,"Ya, lokasi ni mudah diakses dan sesuai dikunjungi",lokasi mudah akses sesuai kunjung
